TR10295-4	Methadone Metabolite	Chem	ACTIVE	\N	\N	\N	100000.516.000
TR10296-2	Methanol	Chem	ACTIVE	\N	\N	\N	100000.529.000
TR10297-0	Methaqualone	Chem	ACTIVE	\N	\N	\N	100000.517.000
TR10298-8	Methemalbumin	Chem	ACTIVE	\N	\N	\N	\N
TR10299-6	Methemoglobin	Chem	ACTIVE	\N	\N	\N	100000.148.500
TR10300-2	Methotrexate	Chem	ACTIVE	\N	\N	\N	100000.572.000
TR10301-0	Methotrimeprazine	Chem	ACTIVE	\N	\N	\N	\N
TR10302-8	Methsuximide	Chem	ACTIVE	\N	\N	\N	\N
TR10303-6	Methylenedioxy Amphetamine	Chem	ACTIVE	\N	\N	\N	\N
TR10304-4	Methylenedioxy Methamphetamine	Chem	ACTIVE	\N	\N	\N	100000.518.000
TR10305-1	Methylmalonate	Chem	ACTIVE	\N	\N	\N	\N
TR10306-9	Methylphenidate	Chem	ACTIVE	\N	\N	\N	\N
TR10307-7	Methyprylon	Chem	ACTIVE	\N	\N	\N	\N
TR10308-5	Mexiletine	Chem	ACTIVE	2011-07-01	\N	\N	\N
TR10309-3	Molybdenum	Chem	ACTIVE	\N	\N	\N	\N
TR10310-1	Mucopolysaccharides	Chem	ACTIVE	\N	\N	\N	\N
TR10311-9	Mycophenolate	Chem	ACTIVE	\N	\N	\N	\N
TR10312-7	Myoglobin	Chem	ACTIVE	\N	\N	\N	100000.322.000
TR10313-5	N-Acetylprocainamide	Chem	ACTIVE	\N	\N	\N	\N
TR10314-3	Thyrotropin Neonatal	Chem	ACTIVE	\N	\N	\N	\N
TR10315-0	Phenylalanine Neonatal	Chem	ACTIVE	\N	\N	\N	\N
TR10316-8	Newborn Screen	Chem	ACTIVE	\N	\N	\N	100000.245.550
TR10317-6	Nickel	Chem	ACTIVE	\N	\N	\N	100000.382.000
TR10318-4	Nicotine	Chem	ACTIVE	\N	\N	\N	\N
TR10319-2	Nitrazepam	Chem	ACTIVE	\N	\N	\N	\N
TR10320-0	Nitrogen	Chem	ACTIVE	\N	\N	\N	\N
TR10321-8	Nortriptyline	Chem	ACTIVE	\N	\N	\N	100000.519.000
TR10322-6	Occult Blood	Chem	ACTIVE	\N	\N	\N	100000.269.000
TR10323-4	Olanzapine	Chem	ACTIVE	\N	\N	\N	\N
TR10324-2	Oligosaccharides	Chem	ACTIVE	\N	\N	\N	\N
TR10325-9	Opiate Screen	Chem	ACTIVE	\N	\N	\N	100000.520.000
TR10326-7	Organic Acids	Chem	ACTIVE	\N	\N	\N	100000.184.400
TR10327-5	Ornithine Carbamoyl Transferase	Chem	ACTIVE	\N	\N	\N	\N
TR10328-3	Orotate	Chem	ACTIVE	\N	\N	\N	\N
TR10329-1	Osmolality	Chem	ACTIVE	\N	\N	\N	100000.183.000
TR10330-9	Osteocalcin	Chem	ACTIVE	\N	\N	\N	\N
